canonical_id,classification,issue,original_id,document_locale,source_path,line_start,line_end,record_id
ADS-ACHYB001,misleading_or_unsupported,I2,ADS-ACHYB001-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/platform-selection/agentcore-hybrid-strategy.md,117,121,en--agentic-ai-platform__design-architecture__platform-selection__agentcore-hybrid-strategy.md.json
ADS-ACHYB001,misleading_or_unsupported,I2,ADS-ACHYB001-ko,ko,docs/agentic-ai-platform/design-architecture/platform-selection/agentcore-hybrid-strategy.md,117,121,ko--agentic-ai-platform__design-architecture__platform-selection__agentcore-hybrid-strategy.md.json
ADS-ADR001,misleading_or_unsupported,I2,ADS-ADR001-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/advanced-patterns/adr-self-improving-loop.md,38,44,en--agentic-ai-platform__design-architecture__advanced-patterns__adr-self-improving-loop.md.json
ADS-ADR001,misleading_or_unsupported,I2,ADS-ADR001-ko,ko,docs/agentic-ai-platform/design-architecture/advanced-patterns/adr-self-improving-loop.md,73,79,ko--agentic-ai-platform__design-architecture__advanced-patterns__adr-self-improving-loop.md.json
ADS-ADR002,misleading_or_unsupported,I3,ADS-ADR002-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/advanced-patterns/adr-self-improving-loop.md,70,73,en--agentic-ai-platform__design-architecture__advanced-patterns__adr-self-improving-loop.md.json
ADS-ADR002,misleading_or_unsupported,I3,ADS-ADR002-ko,ko,docs/agentic-ai-platform/design-architecture/advanced-patterns/adr-self-improving-loop.md,105,108,ko--agentic-ai-platform__design-architecture__advanced-patterns__adr-self-improving-loop.md.json
ADS-ADR003,misleading_or_unsupported,I4,ADS-ADR003-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/advanced-patterns/adr-self-improving-loop.md,79,83,en--agentic-ai-platform__design-architecture__advanced-patterns__adr-self-improving-loop.md.json
ADS-ADR003,misleading_or_unsupported,I4,ADS-ADR003-ko,ko,docs/agentic-ai-platform/design-architecture/advanced-patterns/adr-self-improving-loop.md,114,118,ko--agentic-ai-platform__design-architecture__advanced-patterns__adr-self-improving-loop.md.json
ADS-ADR004,misleading_or_unsupported,I3,ADS-ADR004-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/advanced-patterns/adr-self-improving-loop.md,87,90,en--agentic-ai-platform__design-architecture__advanced-patterns__adr-self-improving-loop.md.json
ADS-ADR004,misleading_or_unsupported,I3,ADS-ADR004-ko,ko,docs/agentic-ai-platform/design-architecture/advanced-patterns/adr-self-improving-loop.md,122,125,ko--agentic-ai-platform__design-architecture__advanced-patterns__adr-self-improving-loop.md.json
ADS-ADR005,misleading_or_unsupported,I3,ADS-ADR005-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/advanced-patterns/adr-self-improving-loop.md,106,109,en--agentic-ai-platform__design-architecture__advanced-patterns__adr-self-improving-loop.md.json
ADS-ADR005,misleading_or_unsupported,I3,ADS-ADR005-ko,ko,docs/agentic-ai-platform/design-architecture/advanced-patterns/adr-self-improving-loop.md,141,144,ko--agentic-ai-platform__design-architecture__advanced-patterns__adr-self-improving-loop.md.json
ADS-ADR006,confirmed_incorrect,I5,ADS-ADR006-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/advanced-patterns/adr-self-improving-loop.md,26,30,en--agentic-ai-platform__design-architecture__advanced-patterns__adr-self-improving-loop.md.json
ADS-ADR007,confirmed_incorrect,I5,ADS-ADR007-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/advanced-patterns/adr-self-improving-loop.md,12,12,en--agentic-ai-platform__design-architecture__advanced-patterns__adr-self-improving-loop.md.json
ADS-ARCH001,misleading_or_unsupported,I4,ADS-ARCH001-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,39,43,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH001,misleading_or_unsupported,I4,ADS-ARCH001-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,39,43,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH002,confirmed_incorrect,I2,ADS-ARCH002-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,180,208,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH002,confirmed_incorrect,I2,ADS-ARCH002-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,180,208,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH003,misleading_or_unsupported,I3,ADS-ARCH003-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,265,275,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH003,misleading_or_unsupported,I3,ADS-ARCH003-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,267,279,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH004,misleading_or_unsupported,I3,ADS-ARCH004-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,319,336,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH004,misleading_or_unsupported,I3,ADS-ARCH004-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,323,340,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH005,misleading_or_unsupported,I2,ADS-ARCH005-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,382,392,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH005,misleading_or_unsupported,I2,ADS-ARCH005-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,386,396,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH006,confirmed_incorrect,I2,ADS-ARCH006-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,450,452,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH006,confirmed_incorrect,I2,ADS-ARCH006-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,454,456,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH007,misleading_or_unsupported,I3,ADS-ARCH007-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,478,487,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH007,misleading_or_unsupported,I3,ADS-ARCH007-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,482,491,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH008,misleading_or_unsupported,I4,ADS-ARCH008-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,513,536,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH008,misleading_or_unsupported,I4,ADS-ARCH008-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,517,540,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH009,misleading_or_unsupported,I4,ADS-ARCH009-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,576,591,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH009,misleading_or_unsupported,I4,ADS-ARCH009-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,579,594,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH010,misleading_or_unsupported,I4,ADS-ARCH010-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,607,613,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH010,misleading_or_unsupported,I4,ADS-ARCH010-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,610,616,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH011,misleading_or_unsupported,I3,ADS-ARCH011-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,623,632,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH011,misleading_or_unsupported,I3,ADS-ARCH011-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,626,635,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
